baperr,bawa perasaan
sudh,sudah
sbr,sabar
pngen,ingin
nntn,menonton
ht,hati
pemainy,pemainnya
jg,juga
aqu,aku
ngeliat,melihat
baper,bawa perasaan
akn,akan
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
amiiinnnn,amin
mlm,malam
nikahin,menikahi
hadeuh,aduh
nyambung,menyambung
liyat,lihat
krn,karena
sk,suka
adengan,adegan
engga,tidak
bingit,banget
dapetin,mendapati
model2,model-model
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,mah
cocokny,cocoknya
iniw,ini
q,ku
setju,setuju
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
br,baru
mksdny,maksudnya
brpa,berapa
ihh,ih
kesampean,kesampaian
beginiiii,begini
ntr,entar
beliin,membelikan
kya,kaya
keq,kek
ngerasa,merasa
sygkuu,sayangku
ngeselin,mengesalkan
baju'a,bajunya
gara'',gara-gara
teruss,terus
pokok'a,pokoknya
bg,bang
ubur2,ubur-ubur
kuyy,yuk
bentarr,bentar
dureen,duren
ajibb,ajib
mahall,mahal
yukk,yuk
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
konten2,konten-konten
rasain,rasai
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
yuuk,yuk
ngelihatnya,melihatnya
bdn,badan
na,nya
ibu2,ibu-ibu
lau,kau
cantikk,cantik
sexxi,seksi
bulet,bulat
ituu,itu
ngocok,mengocok
nyoba,mencoba
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
coret",coret-coret,
lahh,lah
gambarin,gambarkan
ngerii,ngeri
digambarin,digambarkan
klen,kalian
bangke,bangkai
kog,kok
liatnya,lihatnya
bedanyaaa,bedanya
negri,negeri
mbk,mbak
pgin,ingin
krudungan,kerudungan
ajaa,saja
maksutku,maksudku
kerennnnn,keren
njirr,anjir
jd'y,jadinya
manisnyaaaa,manisnya
thun,tahun
mbg,mbak
bangeet,banget
ngaco,mengaco
ngomen,mengomentari
kaaakk,kak
gituh,begitu
tenggah,tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
