full_text,text_cleaned_initial,text_no_emojis,text_casefolded,text_slang_fixed,text_tokenized,text_stopwords_removed
@makegudmemories @ohmyshaaz Hilih kontol Tolol aja ga pernah check dan recheck Udah jelas terpampang penjahat HAM Udah jelas dia kabur ke yordania pas mau diadili Dulu coba di rangkul malah ngatain anah abah Sekarang playing victim si paling ga tau menyesal udah GOBLOK TOLOL GA ADA OTAK HIDUP PULA,Hilih kontol Tolol aja ga pernah check dan recheck Udah jelas terpampang penjahat HAM Udah jelas dia kabur ke yordania pas mau diadili Dulu coba di rangkul malah ngatain anah abah Sekarang playing victim si paling ga tau menyesal udah GOBLOK TOLOL GA ADA OTAK HIDUP PULA,Hilih kontol Tolol aja ga pernah check dan recheck Udah jelas terpampang penjahat HAM Udah jelas dia kabur ke yordania pas mau diadili Dulu coba di rangkul malah ngatain anah abah Sekarang playing victim si paling ga tau menyesal udah GOBLOK TOLOL GA ADA OTAK HIDUP PULA,hilih kontol tolol aja ga pernah check dan recheck udah jelas terpampang penjahat ham udah jelas dia kabur ke yordania pas mau diadili dulu coba di rangkul malah ngatain anah abah sekarang playing victim si paling ga tau menyesal udah goblok tolol ga ada otak hidup pula,hilih kontol tolol saja ga pernah check dan recheck sudah jelas terpampang penjahat ham sudah jelas dia kabur ke yordania pas mau diadili dulu coba di rangkul bahkan ngatain anah abah sekarang playing victim si paling ga tahu menyesal sudah bodoh tolol ga ada otak hidup pula,"['hilih', 'kontol', 'tolol', 'saja', 'ga', 'pernah', 'check', 'dan', 'recheck', 'sudah', 'jelas', 'terpampang', 'penjahat', 'ham', 'sudah', 'jelas', 'dia', 'kabur', 'ke', 'yordania', 'pas', 'mau', 'diadili', 'dulu', 'coba', 'di', 'rangkul', 'bahkan', 'ngatain', 'anah', 'abah', 'sekarang', 'playing', 'victim', 'si', 'paling', 'ga', 'tahu', 'menyesal', 'sudah', 'bodoh', 'tolol', 'ga', 'ada', 'otak', 'hidup', 'pula']","['hilih', 'kontol', 'tolol', 'check', 'recheck', 'terpampang', 'penjahat', 'ham', 'kabur', 'yordania', 'pas', 'diadili', 'coba', 'rangkul', 'ngatain', 'anah', 'abah', 'playing', 'victim', 'si', 'menyesal', 'bodoh', 'tolol', 'otak', 'hidup']"
Kabur dulu aja gak si? https://t.co/PQvx3f4xDM,Kabur dulu aja gak si,Kabur dulu aja gak si,kabur dulu aja gak si,kabur dulu saja gak si,"['kabur', 'dulu', 'saja', 'gak', 'si']","['kabur', 'si']"
10 hari terakhir banyak banyakin doa buat negara ini. Makbul doanya. Biar kita gk perlu kabur aja dulu. Biar mereka yg angkat kaki dari sini (ke neraka),hari terakhir banyak banyakin doa buat negara ini Makbul doanya Biar kita gk perlu kabur aja dulu Biar mereka yg angkat kaki dari sini ke neraka,hari terakhir banyak banyakin doa buat negara ini Makbul doanya Biar kita gk perlu kabur aja dulu Biar mereka yg angkat kaki dari sini ke neraka,hari terakhir banyak banyakin doa buat negara ini makbul doanya biar kita gk perlu kabur aja dulu biar mereka yg angkat kaki dari sini ke neraka,hari terakhir banyak banyakin doa buat negara ini makbul doanya biar kita gk perlu kabur saja dulu biar mereka yang angkat kaki dari sini ke neraka,"['hari', 'terakhir', 'banyak', 'banyakin', 'doa', 'buat', 'negara', 'ini', 'makbul', 'doanya', 'biar', 'kita', 'gk', 'perlu', 'kabur', 'saja', 'dulu', 'biar', 'mereka', 'yang', 'angkat', 'kaki', 'dari', 'sini', 'ke', 'neraka']","['banyakin', 'doa', 'negara', 'makbul', 'doanya', 'biar', 'gk', 'kabur', 'biar', 'angkat', 'kaki', 'neraka']"
@miausle beneran mau kabur aja dulu #GagalkanRUUTNI #CabutRUUTNI #PeringatanDarurat #IndonesiaGelap #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #SupremasiSipil,beneran mau kabur aja dulu,beneran mau kabur aja dulu,beneran mau kabur aja dulu,beneran mau kabur saja dulu,"['beneran', 'mau', 'kabur', 'saja', 'dulu']","['beneran', 'kabur']"
Wow amankah? Tapi karena tweet pasti udah Konsul manager makasih doanya Bo kamu juga stay safe. Atau apa kamu jg mau kabur aja dulu ke jepang?,Wow amankah Tapi karena tweet pasti udah Konsul manager makasih doanya Bo kamu juga stay safe Atau apa kamu jg mau kabur aja dulu ke jepang,Wow amankah Tapi karena tweet pasti udah Konsul manager makasih doanya Bo kamu juga stay safe Atau apa kamu jg mau kabur aja dulu ke jepang,wow amankah tapi karena tweet pasti udah konsul manager makasih doanya bo kamu juga stay safe atau apa kamu jg mau kabur aja dulu ke jepang,wow amankah tapi karena tweet pasti sudah konsul manager terima kasih doanya bo kamu juga stay safe atau apa kamu juga mau kabur saja dulu ke jepang,"['wow', 'amankah', 'tapi', 'karena', 'tweet', 'pasti', 'sudah', 'konsul', 'manager', 'terima', 'kasih', 'doanya', 'bo', 'kamu', 'juga', 'stay', 'safe', 'atau', 'apa', 'kamu', 'juga', 'mau', 'kabur', 'saja', 'dulu', 'ke', 'jepang']","['wow', 'amankah', 'tweet', 'konsul', 'manager', 'terima', 'kasih', 'doanya', 'bo', 'stay', 'safe', 'kabur', 'jepang']"
Mau kabur aja dulu makin sulit aja fakmen ,Mau kabur aja dulu makin sulit aja fakmen,Mau kabur aja dulu makin sulit aja fakmen,mau kabur aja dulu makin sulit aja fakmen,mau kabur saja dulu makin sulit saja fakmen,"['mau', 'kabur', 'saja', 'dulu', 'makin', 'sulit', 'saja', 'fakmen']","['kabur', 'sulit', 'fakmen']"
@itstiacold kabur aja dulu? wkwk,kabur aja dulu wkwk,kabur aja dulu wkwk,kabur aja dulu wkwk,kabur saja dulu wkwk,"['kabur', 'saja', 'dulu', 'wkwk']","['kabur', 'wkwk']"
Agaknya opsi kabur aja dulu otw tidak bisa dijadikan opsi ,Agaknya opsi kabur aja dulu otw tidak bisa dijadikan opsi,Agaknya opsi kabur aja dulu otw tidak bisa dijadikan opsi,agaknya opsi kabur aja dulu otw tidak bisa dijadikan opsi,"agaknya opsi kabur saja dulu on the way, sedang di jalan tidak bisa dijadikan opsi","['agaknya', 'opsi', 'kabur', 'saja', 'dulu', 'on', 'the', 'way', ',', 'sedang', 'di', 'jalan', 'tidak', 'bisa', 'dijadikan', 'opsi']","['opsi', 'kabur', 'way', ',', 'jalan', 'dijadikan', 'opsi']"
@pintunenek pencetus kabur aja dulu kali kak,pencetus kabur aja dulu kali kak,pencetus kabur aja dulu kali kak,pencetus kabur aja dulu kali kak,pencetus kabur saja dulu kali kak,"['pencetus', 'kabur', 'saja', 'dulu', 'kali', 'kak']","['pencetus', 'kabur', 'kali', 'kak']"
Ya allah kabur ke pantai dulu aja kali ya kayanya ,Ya allah kabur ke pantai dulu aja kali ya kayanya,Ya allah kabur ke pantai dulu aja kali ya kayanya,ya allah kabur ke pantai dulu aja kali ya kayanya,iya allah kabur ke pantai dulu saja kali iya kayaknya,"['iya', 'allah', 'kabur', 'ke', 'pantai', 'dulu', 'saja', 'kali', 'iya', 'kayaknya']","['allah', 'kabur', 'pantai', 'kali', 'kayaknya']"
